BlockType,TargetType,Stimulus,Stim_CRESP
Rec,oldplace,Stimuli/PL_051_SCENE08.bmp,Old
Rec,newneutface,Stimuli/LM207_NC.bmp,New
Rec,newplace,Stimuli/PL_003_92016.bmp,New
Rec,newposface,Stimuli/45M_HO.bmp,New
Rec,oldneutface,Stimuli/LM213_NC.bmp,Old
Rec,oldnegface,Stimuli/BF023_FO.bmp,Old
Rec,newnegface,Stimuli/HM05_FO.bmp,New
Rec,oldplace,Stimuli/PL_053_SCENE15.bmp,Old
Rec,newneutface,Stimuli/7F_NC.bmp,New
Rec,oldneutface,Stimuli/AF225_NC.bmp,Old
Rec,newnegface,Stimuli/BF06_FO.bmp,New
Rec,newplace,Stimuli/PL_004_92023.bmp,New
Rec,oldposface,Stimuli/HM01_HO.bmp,Old
Rec,oldposface,Stimuli/22M_HO.bmp,Old
Rec,oldnegface,Stimuli/AM03_FO.bmp,Old
Rec,newposface,Stimuli/AF02_HO.bmp,New
Rec,oldplace,Stimuli/PL_057_TUFTS06BW.bmp,Old
Rec,oldneutface,Stimuli/BM07_NC.bmp,Old
Rec,newplace,Stimuli/PL_012_92047.bmp,New
Rec,oldnegface,Stimuli/WF015_FO.bmp,Old
Rec,newnegface,Stimuli/28M_FO.bmp,New
Rec,oldposface,Stimuli/18F_HO.bmp,Old
Rec,newneutface,Stimuli/BM03_NC.bmp,New
Rec,newplace,Stimuli/PL_001_92012.bmp,New
Rec,oldplace,Stimuli/PL_061_TUFTS11BW.bmp,Old
Rec,oldposface,Stimuli/AM01_HO.bmp,Old
Rec,oldneutface,Stimuli/AF219_NC.bmp,Old
Rec,oldnegface,Stimuli/37M_FO.bmp,Old
Rec,newnegface,Stimuli/10F_FO.bmp,New
Rec,newneutface,Stimuli/42M_NC.bmp,New
Rec,newposface,Stimuli/HF04_HO.bmp,New
Rec,newposface,Stimuli/BM08_HO.bmp,New
Rec,newplace,Stimuli/PL_011_92044.bmp,New
Rec,oldplace,Stimuli/PL_060_TUFTS10BW.bmp,Old
Rec,newposface,Stimuli/WM011_HO.bmp,New
Rec,newnegface,Stimuli/17F_FO.bmp,New
Rec,oldnegface,Stimuli/WM033_FO.bmp,Old
Rec,oldposface,Stimuli/HF03_HO.bmp,Old
Rec,newneutface,Stimuli/LF227_NC.bmp,New
Rec,oldneutface,Stimuli/8F_NC.bmp,Old
Rec,oldplace,Stimuli/PL_056_TUFTS02BW.bmp,Old
Rec,newplace,Stimuli/PL_009_92037.bmp,New
Rec,newnegface,Stimuli/HM03_FO.bmp,New
Rec,newneutface,Stimuli/AM228_NC.bmp,New
Rec,oldneutface,Stimuli/41M_NC.bmp,Old
Rec,oldposface,Stimuli/BF07_HO.bmp,Old
Rec,newposface,Stimuli/12F_HO.bmp,New
Rec,oldnegface,Stimuli/6F_FO.bmp,Old
Rec,oldposface,Stimuli/AM02_HO.bmp,Old
Rec,newposface,Stimuli/13F_HO.bmp,New
Rec,newplace,Stimuli/PL_043_LEXINGTON19.bmp,New
Rec,newneutface,Stimuli/AM210_NC.bmp,New
Rec,oldneutface,Stimuli/BF02_NC.bmp,Old
Rec,oldplace,Stimuli/PL_095_O65.1.bmp,Old
Rec,newnegface,Stimuli/16F_FO.bmp,New
Rec,oldnegface,Stimuli/15F_FO.bmp,Old
Rec,newplace,Stimuli/PL_046_SCENE03.bmp,New
Rec,newplace,Stimuli/o89.1.bmp,New
Rec,oldplace,Stimuli/PL_099_O81.1.bmp,Old
Rec,oldposface,Stimuli/BF009_HO.bmp,Old
Rec,newneutface,Stimuli/BF201_NC.bmp,New
Rec,newneutface,Stimuli/WF02_NC.bmp,New
Rec,oldneutface,Stimuli/WF223_NC.bmp,Old
Rec,oldnegface,Stimuli/WM006_FO.bmp,Old
Rec,newposface,Stimuli/WM01_HO.bmp,New
Rec,newnegface,Stimuli/WM003_FO.bmp,New
Rec,oldplace,Stimuli/PL_091_O5.1.bmp,Old
Rec,oldnegface,Stimuli/WF04_FO.bmp,Old
Rec,oldposface,Stimuli/BM009_HO.bmp,Old
Rec,newnegface,Stimuli/BF10_FO.bmp,New
Rec,oldneutface,Stimuli/27M_NC.bmp,Old
Rec,newplace,Stimuli/PL_048_SCENE05.bmp,New
Rec,oldplace,Stimuli/PL_094_O6.1.bmp,Old
Rec,newposface,Stimuli/BF016_HO.bmp,New
Rec,newposface,Stimuli/BM06_HO.bmp,New
Rec,oldposface,Stimuli/36M_HO.bmp,Old
Rec,oldneutface,Stimuli/AM204_NC.bmp,Old
Rec,oldneutface,Stimuli/BF03_NC.bmp,Old
Rec,newneutface,Stimuli/BM04_NC.bmp,New
Rec,newnegface,Stimuli/AM05_FO.bmp,New
Rec,newnegface,Stimuli/5F_FO.bmp,New
Rec,newplace,Stimuli/PL_045_SCENE02.bmp,New
Rec,oldnegface,Stimuli/38M_FO.bmp,Old
Rec,newneutface,Stimuli/AF235_NC.bmp,New
Rec,oldposface,Stimuli/HF05_HO.bmp,Old
Rec,newposface,Stimuli/20M_HO.bmp,New
Rec,oldnegface,Stimuli/AF01_FO.bmp,Old
Rec,oldplace,Stimuli/PL_092_O50.1.bmp,Old
Rec,newplace,Stimuli/PL_040_LEXINGTON16.bmp,New
Rec,oldposface,Stimuli/WF05_HO.bmp,Old
Rec,oldneutface,Stimuli/LM242_NC.bmp,Old
Rec,newposface,Stimuli/HF02_HO.bmp,New
Rec,oldnegface,Stimuli/40M_FO.bmp,Old
Rec,oldplace,Stimuli/PL_073_P53.1.bmp,Old
Rec,newneutface,Stimuli/LM211_NC.bmp,New
Rec,newnegface,Stimuli/43M_FO.bmp,New