Stimulus,TargetType,BlockType,Trial_Number,Stim_CRESP,Faces0Back.thisRepN,Faces0Back.thisTrialN,Faces0Back.thisN,Faces0Back.thisIndex,Places0Back.thisRepN,Places0Back.thisTrialN,Places0Back.thisN,Places0Back.thisIndex,Faces2Back.thisRepN,Faces2Back.thisTrialN,Faces2Back.thisN,Faces2Back.thisIndex,experimentTime,Stim.RESP,Stim.RT,Stim.CRESP,CueTarget.OnsetTime,CueTarget.OffsetTime,CueFix.FinishTime,CueTarget.StartTime,CueTarget.FinishTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,CueTarget.Duration,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
PracticeNC1.bmp,Faces,Cue0Back,1,Target,0,0,0,0,,,,,,,,,5.85774898529,,0,Target,7807,10306,7806,7806,10306,7308,7308,7806,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
PracticeNC2.bmp,NeutFace,0Back,2,No Match,0,1,1,1,,,,,,,,,,,0,No Match,,,,,,,,,,,0,10312,12307,2000,10312,12307,0,12306,12307,500,12806,12806,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
PracticeNC1.bmp,NeutFace,0Back,3,Match,0,2,2,2,,,,,,,,,,,0,Match,,,,,,,,,,,0,14311,16307,2000,14311,16307,0,16307,16307,500,16807,16807,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
PracticeNC3.bmp,NeutFace,0Back,4,No Match,0,3,3,3,,,,,,,,,,,0,No Match,,,,,,,,,,,0,18311,20307,2000,18312,20307,0,20307,20308,500,20808,20808,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
PracticeNC2.bmp,NeutFace,0Back,5,No Match,0,4,4,4,,,,,,,,,,,0,No Match,,,,,,,,,,,0,22312,24308,2000,22312,24308,0,24308,24308,500,24808,24808,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
PracticeNC1.bmp,NeutFace,0Back,6,Match,0,5,5,5,,,,,,,,,,,0,Match,,,,,,,,,,,0,26312,28308,2000,26313,28308,0,28308,28309,500,28808,28808,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place1.bmp,Place,Cue0Back,1,Target,,,,,0,0,0,0,,,,,,,0,Target,32026,34527,32026,32026,34527,31517,31517,32026,2500,500,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place1.bmp,Place,0Back,2,Match,,,,,0,1,1,1,,,,,,,0,Match,,,,,,,,,,,0,34533,36527,2000,34534,36527,0,36526,36527,500,37026,37026,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place3.bmp,Place,0Back,3,No Match,,,,,0,2,2,2,,,,,,,0,No Match,,,,,,,,,,,0,38531,40527,2000,38532,40527,0,40527,40527,500,41027,41027,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place5.bmp,Place,0Back,4,No Match,,,,,0,3,3,3,,,,,,,0,No Match,,,,,,,,,,,0,42531,44528,2000,42531,44528,0,44528,44528,500,45028,45028,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place1.bmp,Place,0Back,5,Match,,,,,0,4,4,4,,,,,,,0,Match,,,,,,,,,,,0,46531,48528,2000,46532,48528,0,48528,48528,500,49028,49028,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Place3.bmp,Place,0Back,6,No Match,,,,,0,5,5,5,,,,,,,0,No Match,,,,,,,,,,,0,50533,52528,2000,50533,52528,0,52528,52528,500,53028,53028,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Stimuli/PracticeFO2.bmp,NegFace,2Back,1,No Match,,,,,,,,,0,0,0,0,,left,1000,No Match,,,,,,,,,,,0,76432,78432,2000,76433,78432,77433,78431,78432,500,78932,78932,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Stimuli/PracticeFO4.bmp,NegFace,2Back,2,No Match,,,,,,,,,0,1,1,1,,,0,No Match,,,,,,,,,,,0,80440,82433,2000,80440,82433,0,82432,82433,500,82933,82933,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Stimuli/PracticeFO2.bmp,NegFace,2Back,3,Match,,,,,,,,,0,2,2,2,,,0,Match,,,,,,,,,,,0,84437,86433,2000,84437,86433,0,86433,86433,500,86933,86933,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Stimuli/PracticeFO4.bmp,NegFace,2Back,4,Match,,,,,,,,,0,3,3,3,,,0,Match,,,,,,,,,,,0,88437,90434,2000,88437,90434,0,90434,90434,500,90933,90933,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
Stimuli/PracticeFO1.bmp,NegFace,2Back,5,No Match,,,,,,,,,0,4,4,4,,escape,,No Match,,,,,,,,,,,0,92438,94433,2000,92438,94433,94103,94433,94433,500,94933,94933,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,08/07/2018,1,17:04:26,Professional,0,2018-08-07_170426,2.0.10.356,,Emo_Nback_20180527,160,True,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,Practice,2.0.10.356,0,False,Stimuli/,Year 2,59.8235945184,1,
