TargetType,Run,Stimulus,RunTrialNumber_Block,StimType,BlockType,Stim_CRESP,Block,nBack.thisRepN,nBack.thisTrialN,nBack.thisN,nBack.thisIndex,Stim.RESP,Stim.RT,Stim.CRESP,CueFix.FinishTime,Cue2Back.StartTime,Cue2Back.FinishTime,Cue2Back.OffsetTime,CueFix.StartTime,CueFix.OnsetTime,CueFix.OffsetTime,Cue2Back.Duration,Cue2Back.OnsetTime,CueFix.Duration,Stim.ACC,Stim.StartTime,Stim.FinishTime,Stim.Duration,Stim.OnsetTime,Fix.StartTime,Stim.RTTime,Stim.OffsetTime,Fix.OnsetTime,Fix.Duration,Fix.OffsetTime,Fix.FinishTime,CueTarget.OnsetTime,CueTarget.OffsetTime,CueTarget.StartTime,CueTarget.FinishTime,CueTarget.Duration,Fix15sec.OnsetTime,Fix15sec.Duration,Fix15sec.FinishTime,Fix15sec.StartTime,Fix15sec.OffsetTime,Allowed,DataFile.Basename,Group,Target,FontStyle,RunNumber,Handedness,NARGUID,SUBID,triggercode,SessionDate,Version,SessionTime,RuntimeCapabilities,Clock.Information,date,RuntimeVersion,SessionStart,ExperimentName,TrialsPerRun[Session],Debugging,Run,ExperimentVersion,ConsecNonResp[Session],TotalRespGreater200[Session],Nontarget,StudioVersion,Session,RuntimeVersionExpected,ConsecRTLess200[Session],Goggles,StimuliDir,Time Point,Main.RefreshRate,Subject,
"",All,"","",Faces,Cue2Back,"",1.0,0,0,0,0,,0,"",46028,46028,48527,48527,45517,45517,46028,2500,46028,500,,,,,,,,,,,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,23M_HO.bmp,2,PosFace,2-Back,No Match,1.0,0,1,1,1,,0,No Match,,,,,,,,,,,0,48536,50528,2000,48536,50528,0,50528,50528,500,51028,51028,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,12F_HO.bmp,3,PosFace,2-Back,No Match,1.0,0,2,2,2,,0,No Match,,,,,,,,,,,0,51037,53028,2000,51038,53028,0,53028,53029,500,53528,53528,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,AF02_HO.bmp,4,PosFace,2-Back,No Match,1.0,0,3,3,3,,0,No Match,,,,,,,,,,,0,53538,55528,2000,53539,55528,0,55528,55528,500,56029,56029,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,12F_HO.bmp,5,PosFace,2-Back,Match,1.0,0,4,4,4,,0,Match,,,,,,,,,,,0,56034,58029,2000,56034,58029,0,58029,58029,500,58529,58529,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,WM011_HO.bmp,6,PosFace,2-Back,No Match,1.0,0,5,5,5,,0,No Match,,,,,,,,,,,0,58538,60529,2000,58538,60529,0,60529,60529,500,61029,61029,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,HM04_HO.bmp,7,PosFace,2-Back,No Match,1.0,0,6,6,6,,0,No Match,,,,,,,,,,,0,61037,63030,2000,61037,63030,0,63030,63030,500,63530,63530,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,AF02_HO.bmp,8,PosFace,2-Back,No Match,1.0,0,7,7,7,,0,No Match,,,,,,,,,,,0,63535,65529,2000,63536,65529,0,65529,65530,500,66030,66030,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,BF037_HO.bmp,9,PosFace,2-Back,No Match,1.0,0,8,8,8,,0,No Match,,,,,,,,,,,0,66039,68014,2000,66039,68014,0,68013,68014,500,68514,68514,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,WM011_HO.bmp,10,PosFace,2-Back,No Match,1.0,0,9,9,9,,0,No Match,,,,,,,,,,,0,68518,70514,2000,68518,70514,0,70513,70514,500,71014,71014,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,BF037_HO.bmp,11,PosFace,2-Back,Match,1.0,0,10,10,10,,0,Match,,,,,,,,,,,0,71019,73014,2000,71020,73014,0,73014,73014,500,73514,73514,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,AF218_NC.bmp,None,Faces,Cue0Back,,2.0,0,11,11,11,,0,,74015,,,,73525,73525,74015,,,500,,,,,,,,,,,,,74015,76514,74015,76514,2500,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,LF206_NC.bmp,12,NeutFace,0-Back,No Match,2.0,0,12,12,12,,0,No Match,,,,,,,,,,,0,76524,78515,2000,76524,78515,0,78515,78515,500,79015,79015,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,AF218_NC.bmp,13,NeutFace,0-Back,Match,2.0,0,13,13,13,,0,Match,,,,,,,,,,,0,79021,81015,2000,79021,81015,0,81015,81015,500,81515,81515,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,42M_NC.bmp,14,NeutFace,0-Back,No Match,2.0,0,14,14,14,,0,No Match,,,,,,,,,,,0,81524,83516,2000,81525,83516,0,83516,83516,500,84016,84016,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,BM09_NC.bmp,15,NeutFace,0-Back,No Match,2.0,0,15,15,15,,0,No Match,,,,,,,,,,,0,84026,86017,2000,84027,86017,0,86017,86017,500,86516,86516,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,BM09_NC.bmp,16,NeutFace,0-Back,No Match,2.0,0,16,16,16,,0,No Match,,,,,,,,,,,0,86522,88516,2000,86522,88516,0,88516,88516,500,89016,89016,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,AF218_NC.bmp,17,NeutFace,0-Back,Match,2.0,0,17,17,17,,0,Match,,,,,,,,,,,0,89022,91016,2000,89022,91016,0,91016,91016,500,91517,91517,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,7F_NC.bmp,18,NeutFace,0-Back,No Match,2.0,0,18,18,18,,0,No Match,,,,,,,,,,,0,91526,93517,2000,91527,93517,0,93517,93517,500,94017,94017,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,7F_NC.bmp,19,NeutFace,0-Back,No Match,2.0,0,19,19,19,,0,No Match,,,,,,,,,,,0,94020,96017,2000,94021,96017,0,96017,96017,500,96517,96517,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,42M_NC.bmp,20,NeutFace,0-Back,No Match,2.0,0,20,20,20,,0,No Match,,,,,,,,,,,0,96523,98518,2000,96523,98518,0,98518,98518,500,99018,99018,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,LM207_NC.bmp,21,NeutFace,0-Back,No Match,2.0,0,21,21,21,,0,No Match,,,,,,,,,,,0,99027,101018,2000,99027,101018,0,101018,101018,500,101518,101518,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
None,All,None,None,None,Fix15secPROC,,None,0,22,22,22,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101521,15000,116521,101521,116520,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
None,All,None,None,Faces,Cue2Back,,3.0,0,23,23,23,,0,,117021,117021,119521,119521,116527,116527,117020,2500,117021,500,,,,,,,,,,,,,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,17F_FO.bmp,22,NegFace,2-Back,No Match,3.0,0,24,24,24,,0,No Match,,,,,,,,,,,0,119529,121521,2000,119530,121521,0,121521,121521,500,122021,122021,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,HM03_FO.bmp,23,NegFace,2-Back,No Match,3.0,0,25,25,25,,0,No Match,,,,,,,,,,,0,122031,124022,2000,122031,124022,0,124022,124022,500,124521,124521,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,BM045_FO.bmp,24,NegFace,2-Back,No Match,3.0,0,26,26,26,,0,No Match,,,,,,,,,,,0,124532,126521,2000,124532,126521,0,126521,126521,500,127021,127022,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,HM03_FO.bmp,25,NegFace,2-Back,Match,3.0,0,27,27,27,,0,Match,,,,,,,,,,,0,127027,129022,2000,127027,129022,0,129022,129022,500,129522,129522,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,17F_FO.bmp,26,NegFace,2-Back,No Match,3.0,0,28,28,28,,0,No Match,,,,,,,,,,,0,129528,131523,2000,129528,131523,0,131522,131523,500,132022,132022,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
lure,All,BM045_FO.bmp,27,NegFace,2-Back,No Match,3.0,0,29,29,29,,0,No Match,,,,,,,,,,,0,132028,134023,2000,132028,134023,0,134023,134023,500,134522,134522,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,9F_FO.bmp,28,NegFace,2-Back,No Match,3.0,0,30,30,30,,0,No Match,,,,,,,,,,,0,134531,136523,2000,134531,136523,0,136523,136523,500,137023,137023,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,WM004_FO.bmp,29,NegFace,2-Back,No Match,3.0,0,31,31,31,,0,No Match,,,,,,,,,,,0,137032,139024,2000,137032,139024,0,139024,139024,500,139523,139523,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,9F_FO.bmp,30,NegFace,2-Back,Match,3.0,0,32,32,32,,0,Match,,,,,,,,,,,0,139528,141524,2000,139529,141524,0,141523,141524,500,142023,142023,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
nonlure,All,BF06_FO.bmp,31,NegFace,2-Back,No Match,3.0,0,33,33,33,,0,No Match,,,,,,,,,,,0,142033,144024,2000,142033,144024,0,144024,144024,500,144524,144524,,,,,,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
target,All,34M_HO.bmp,None,Faces,Cue0Back,,4.0,0,34,34,34,,0,,145024,,,,144532,144532,145024,,,500,,,,,,,,,,,,,145025,147525,145024,147525,2500,,,,,,"['1', 'num_1', 'left', '2', 'num_2', 'right']",Emo_Nback_20180527_v1-ABCD1234,1,1,Verdana,1,Right,ABCD1234,0,"['5', '7', '^', 'num_5', 'num_7', '=']",08/09/2018,1,16:20:53,Professional,0,2018-08-09_162053,2.0.10.356,,Emo_Nback_20180527,160,False,All,1.0.0.1180,0,0,"['2', 'num_2', 'right']",2.0.10.252,MRI,2.0.10.356,0,False,Stimuli/,Year 2,59.9955943482,1,
